33.941600 , -118.408500 
35.664401 , -117.122463 
37.372377 , -115.780194 
39.063926 , -114.375944 
40.737256 , -112.903396 
42.390358 , -111.355615 
44.020971 , -109.724987 
45.626549 , -108.003171 
47.204215 , -106.181052 
48.750716 , -104.248714 
50.262373 , -102.195437 
51.735022 , -100.009730 
53.163959 , -97.679430 
54.543879 , -95.191872 
55.868822 , -92.534184 
57.132131 , -89.693718 
58.326427 , -86.658673 
59.443616 , -83.418935 
60.474948 , -79.967151 
61.411135 , -76.300017 
62.242555 , -72.419720 
62.959550 , -68.335385 
63.552821 , -64.064292 
64.013899 , -59.632591 
64.335665 , -55.075194 
64.512847 , -50.434644 
64.542426 , -45.758914 
64.423893 , -41.098372 
64.159284 , -36.502344 
63.753012 , -32.015858 
63.211516 , -27.677067 
62.542791 , -23.515681 
61.755863 , -19.552474 
60.860301 , -15.799697 
59.865782 , -12.262139 
58.781755 , -8.938510 
57.617206 , -5.822905 
56.380499 , -2.906169 
55.079301 , -0.177062 
53.720557 , 2.376813 
52.310500 , 4.768300 
